ReviewID,ClothingID,Age,Title,ReviewText,Rating,Recommended,PositiveFeedbackCount,DivisionName,DepartmentName,ClassName
90,114,67,Poor quality,"Looks amazing, great value for money.",4,1,25,General Petite,Tops,Pants
91,171,62,Not as expected,The material is very comfortable and fits perfectly.,4,1,32,General,Tops,Dresses
92,177,28,Too small,"I didn’t like the quality, it feels cheap.",1,0,20,Intimates,Tops,Jackets
93,186,46,Love it,"The dress was smaller than expected, order one size up.",2,1,34,General Petite,Tops,Pants
94,161,53,Too small,"Love the color and design, very trendy.",2,1,33,General,Outerwear,Pants
95,139,42,Great fit,"The dress was smaller than expected, order one size up.",4,0,40,General Petite,Outerwear,Pants
96,184,38,Too small,"Excellent purchase, will buy again.",1,1,46,Intimates,Bottoms,Blouses
97,179,53,Great fit,"Excellent purchase, will buy again.",2,0,17,Intimates,Dresses,Blouses
98,181,27,Too small,"The dress was smaller than expected, order one size up.",1,0,10,General,Bottoms,Dresses
99,152,54,Highly recommend,"Excellent purchase, will buy again.",1,0,22,General,Dresses,Pants
100,123,26,Great fit,The material is very comfortable and fits perfectly.,1,1,47,General,Tops,Jackets
101,125,41,Poor quality,"Not worth the price, very disappointed.",5,1,21,General Petite,Dresses,Blouses
102,188,52,Not as expected,"Excellent purchase, will buy again.",1,1,16,General Petite,Bottoms,Jackets
103,159,66,Not as expected,"Looks amazing, great value for money.",5,1,4,General Petite,Bottoms,Jackets
104,140,52,Perfect dress,"Excellent purchase, will buy again.",4,1,43,General,Dresses,Blouses
105,128,65,Not as expected,"I didn’t like the quality, it feels cheap.",2,1,10,Intimates,Outerwear,Blouses
106,114,53,Love it,The material is very comfortable and fits perfectly.,2,1,29,Intimates,Tops,Blouses
107,144,35,Highly recommend,"I didn’t like the quality, it feels cheap.",2,0,14,General Petite,Tops,Blouses
108,164,66,Too small,"I didn’t like the quality, it feels cheap.",2,1,26,General Petite,Bottoms,Pants
109,188,56,Perfect dress,"Looks amazing, great value for money.",2,0,34,Intimates,Outerwear,Pants
110,170,49,Love it,The material is very comfortable and fits perfectly.,2,1,32,Intimates,Dresses,Pants
111,108,41,Love it,The material is very comfortable and fits perfectly.,2,1,19,General Petite,Tops,Pants
112,187,40,Great fit,The material is very comfortable and fits perfectly.,4,0,15,General Petite,Outerwear,Dresses
113,100,49,Not as expected,The material is very comfortable and fits perfectly.,1,0,33,Intimates,Tops,Pants
114,107,54,Poor quality,The material is very comfortable and fits perfectly.,3,1,1,General,Outerwear,Blouses
115,187,29,Poor quality,"Looks amazing, great value for money.",5,1,34,General Petite,Outerwear,Jackets
116,162,66,Perfect dress,"Excellent purchase, will buy again.",3,0,39,Intimates,Bottoms,Pants
117,110,30,Highly recommend,"I didn’t like the quality, it feels cheap.",3,1,27,Intimates,Tops,Dresses
118,180,40,Poor quality,The material is very comfortable and fits perfectly.,1,0,46,Intimates,Dresses,Blouses
119,107,42,Too small,"Love the color and design, very trendy.",1,1,38,Intimates,Bottoms,Jackets
120,134,52,Poor quality,"Excellent purchase, will buy again.",1,1,5,General,Bottoms,Jackets
121,134,58,Perfect dress,"Excellent purchase, will buy again.",2,0,8,Intimates,Dresses,Pants
122,132,47,Poor quality,"I didn’t like the quality, it feels cheap.",4,0,19,General Petite,Bottoms,Jackets
123,104,34,Too small,"Looks amazing, great value for money.",2,0,0,General,Outerwear,Pants
124,140,66,Great fit,"The dress was smaller than expected, order one size up.",4,1,7,Intimates,Outerwear,Pants
125,127,37,Highly recommend,"The dress was smaller than expected, order one size up.",4,0,22,General,Tops,Blouses
126,106,65,Perfect dress,"Excellent purchase, will buy again.",3,1,2,General Petite,Tops,Blouses
127,172,42,Great fit,"Not worth the price, very disappointed.",3,0,3,Intimates,Dresses,Dresses
128,171,39,Great fit,"Not worth the price, very disappointed.",4,1,24,General Petite,Tops,Blouses
129,111,30,Great fit,"I didn’t like the quality, it feels cheap.",4,1,46,Intimates,Outerwear,Blouses
130,133,36,Love it,"The dress was smaller than expected, order one size up.",2,1,37,Intimates,Dresses,Pants
131,132,66,Highly recommend,"Excellent purchase, will buy again.",2,1,14,Intimates,Dresses,Blouses
132,147,53,Not as expected,"Looks amazing, great value for money.",3,1,20,Intimates,Tops,Pants
133,122,29,Highly recommend,"The dress was smaller than expected, order one size up.",1,1,34,Intimates,Outerwear,Pants
134,161,58,Love it,"Excellent purchase, will buy again.",4,1,45,General,Dresses,Blouses
135,187,36,Not as expected,"Excellent purchase, will buy again.",2,1,13,Intimates,Outerwear,Dresses
136,136,29,Highly recommend,The material is very comfortable and fits perfectly.,3,0,35,Intimates,Outerwear,Dresses
137,198,26,Great fit,"Looks amazing, great value for money.",2,1,11,General,Outerwear,Jackets
138,143,24,Perfect dress,The material is very comfortable and fits perfectly.,4,1,16,General,Tops,Jackets
139,185,45,Not as expected,"I didn’t like the quality, it feels cheap.",4,0,38,General,Bottoms,Blouses
140,190,31,Too small,The material is very comfortable and fits perfectly.,5,1,8,General,Bottoms,Dresses
141,134,48,Too small,"Love the color and design, very trendy.",1,1,34,General,Dresses,Pants
142,164,69,Poor quality,The material is very comfortable and fits perfectly.,5,1,12,General,Outerwear,Jackets
143,198,36,Not as expected,"Love the color and design, very trendy.",3,1,14,Intimates,Tops,Pants
144,146,64,Perfect dress,"The dress was smaller than expected, order one size up.",2,1,17,Intimates,Outerwear,Jackets
145,177,33,Love it,"Not worth the price, very disappointed.",3,0,32,General Petite,Outerwear,Blouses
146,102,22,Great fit,"Excellent purchase, will buy again.",4,1,5,Intimates,Tops,Dresses
147,100,52,Poor quality,"Love the color and design, very trendy.",5,1,26,Intimates,Bottoms,Jackets
148,104,29,Too small,"Looks amazing, great value for money.",5,0,22,General,Outerwear,Dresses
149,189,42,Love it,The material is very comfortable and fits perfectly.,5,0,26,General,Outerwear,Pants
150,113,69,Love it,"Love the color and design, very trendy.",3,1,33,Intimates,Bottoms,Blouses
151,126,38,Great fit,"Looks amazing, great value for money.",4,0,45,General Petite,Tops,Dresses
152,108,53,Not as expected,"Not worth the price, very disappointed.",2,1,37,General,Dresses,Blouses
153,178,40,Too small,"Not worth the price, very disappointed.",2,0,13,Intimates,Bottoms,Dresses
154,114,33,Perfect dress,The material is very comfortable and fits perfectly.,3,0,35,Intimates,Dresses,Pants
155,189,56,Love it,"I didn’t like the quality, it feels cheap.",5,0,7,General Petite,Dresses,Pants
156,141,62,Great fit,The material is very comfortable and fits perfectly.,1,1,34,General Petite,Bottoms,Blouses
157,176,59,Perfect dress,"The dress was smaller than expected, order one size up.",3,1,18,General,Outerwear,Pants
158,150,56,Not as expected,"Love the color and design, very trendy.",3,1,29,General Petite,Dresses,Jackets
159,162,31,Too small,"Excellent purchase, will buy again.",4,1,13,Intimates,Dresses,Dresses
160,195,48,Not as expected,"I didn’t like the quality, it feels cheap.",2,0,19,Intimates,Tops,Pants
161,151,22,Love it,The material is very comfortable and fits perfectly.,3,1,48,General Petite,Outerwear,Jackets
162,195,52,Perfect dress,"Looks amazing, great value for money.",3,1,24,General Petite,Dresses,Blouses
163,103,40,Perfect dress,"I didn’t like the quality, it feels cheap.",5,1,39,General Petite,Tops,Jackets
164,193,46,Perfect dress,"Love the color and design, very trendy.",5,0,23,General Petite,Outerwear,Blouses
165,122,60,Love it,"I didn’t like the quality, it feels cheap.",1,1,13,General,Bottoms,Blouses
166,114,28,Love it,"Love the color and design, very trendy.",4,0,25,General Petite,Bottoms,Dresses
167,142,35,Not as expected,The material is very comfortable and fits perfectly.,1,1,37,General,Tops,Dresses
168,128,64,Poor quality,"Love the color and design, very trendy.",5,1,22,Intimates,Bottoms,Jackets
169,135,29,Not as expected,"I didn’t like the quality, it feels cheap.",2,1,21,General Petite,Dresses,Dresses
170,112,26,Too small,"Looks amazing, great value for money.",5,1,47,General,Outerwear,Dresses
171,131,27,Great fit,"Not worth the price, very disappointed.",4,1,18,General Petite,Dresses,Dresses
172,170,61,Perfect dress,"I didn’t like the quality, it feels cheap.",5,1,45,Intimates,Dresses,Jackets
173,158,34,Poor quality,"Love the color and design, very trendy.",4,1,2,Intimates,Bottoms,Pants
174,185,55,Great fit,"Not worth the price, very disappointed.",4,1,41,Intimates,Dresses,Dresses
175,127,24,Poor quality,"Love the color and design, very trendy.",4,1,18,General Petite,Bottoms,Dresses
176,165,63,Highly recommend,"Looks amazing, great value for money.",4,1,8,General Petite,Outerwear,Jackets
177,141,30,Not as expected,"Love the color and design, very trendy.",4,1,27,General,Outerwear,Pants
178,144,57,Love it,The material is very comfortable and fits perfectly.,2,1,19,Intimates,Dresses,Dresses
179,161,59,Perfect dress,"Excellent purchase, will buy again.",1,1,44,General Petite,Tops,Blouses
180,156,26,Not as expected,"I didn’t like the quality, it feels cheap.",3,0,6,Intimates,Bottoms,Jackets
181,105,67,Great fit,"Excellent purchase, will buy again.",1,1,13,Intimates,Bottoms,Dresses
182,127,44,Highly recommend,"Love the color and design, very trendy.",4,0,8,General,Dresses,Dresses
183,127,19,Highly recommend,"Looks amazing, great value for money.",2,1,18,General,Bottoms,Blouses
184,143,22,Highly recommend,"I didn’t like the quality, it feels cheap.",5,1,46,General,Bottoms,Blouses
185,183,46,Great fit,"Love the color and design, very trendy.",2,1,13,General,Tops,Jackets
186,129,54,Great fit,"Not worth the price, very disappointed.",4,1,37,Intimates,Tops,Jackets
187,161,55,Great fit,"The dress was smaller than expected, order one size up.",2,1,35,General,Dresses,Blouses
188,174,36,Great fit,"Love the color and design, very trendy.",2,1,39,General,Tops,Jackets
189,191,25,Highly recommend,"Excellent purchase, will buy again.",4,1,16,General,Dresses,Blouses
190,188,65,Highly recommend,"I didn’t like the quality, it feels cheap.",2,0,29,General,Outerwear,Dresses
191,161,62,Poor quality,"Excellent purchase, will buy again.",3,1,8,Intimates,Dresses,Blouses
192,196,18,Not as expected,"I didn’t like the quality, it feels cheap.",3,0,32,General,Outerwear,Blouses
193,100,39,Perfect dress,"Love the color and design, very trendy.",2,1,24,Intimates,Dresses,Pants
194,126,69,Love it,The material is very comfortable and fits perfectly.,5,1,13,General Petite,Bottoms,Blouses
195,161,34,Highly recommend,"Not worth the price, very disappointed.",4,1,10,Intimates,Tops,Blouses
196,176,24,Love it,"Love the color and design, very trendy.",3,0,34,Intimates,Outerwear,Pants
197,102,42,Not as expected,"Excellent purchase, will buy again.",5,0,40,General,Dresses,Jackets
198,169,62,Not as expected,"The dress was smaller than expected, order one size up.",2,1,13,General Petite,Tops,Pants
199,171,21,Love it,"The dress was smaller than expected, order one size up.",5,0,29,General Petite,Dresses,Dresses
200,126,53,Highly recommend,"Looks amazing, great value for money.",1,0,40,General Petite,Tops,Pants
201,108,23,Love it,"I didn’t like the quality, it feels cheap.",3,0,3,General Petite,Tops,Dresses
202,161,48,Poor quality,"Excellent purchase, will buy again.",2,1,3,Intimates,Dresses,Jackets
203,136,36,Too small,"Looks amazing, great value for money.",4,1,27,General Petite,Outerwear,Pants
204,196,61,Highly recommend,"Excellent purchase, will buy again.",2,1,7,Intimates,Outerwear,Pants
205,150,56,Highly recommend,"I didn’t like the quality, it feels cheap.",4,0,1,Intimates,Bottoms,Jackets
206,143,44,Perfect dress,"Love the color and design, very trendy.",2,1,40,Intimates,Tops,Dresses
207,123,27,Great fit,"Love the color and design, very trendy.",5,1,45,General Petite,Bottoms,Pants
208,178,43,Too small,"The dress was smaller than expected, order one size up.",5,1,21,General,Bottoms,Dresses
209,158,36,Not as expected,"Love the color and design, very trendy.",5,0,40,General,Dresses,Pants
210,131,56,Highly recommend,"Love the color and design, very trendy.",1,0,15,General Petite,Dresses,Blouses
211,195,20,Love it,The material is very comfortable and fits perfectly.,4,0,28,General,Dresses,Pants
212,187,62,Too small,"The dress was smaller than expected, order one size up.",5,1,48,General,Tops,Jackets
213,151,30,Perfect dress,"Looks amazing, great value for money.",1,1,47,Intimates,Dresses,Jackets
214,161,67,Not as expected,"Not worth the price, very disappointed.",4,0,29,Intimates,Dresses,Dresses
215,157,45,Great fit,The material is very comfortable and fits perfectly.,2,0,11,General Petite,Tops,Pants
216,151,37,Great fit,"Looks amazing, great value for money.",1,0,34,General Petite,Tops,Dresses
217,111,45,Perfect dress,"I didn’t like the quality, it feels cheap.",3,1,10,General,Outerwear,Dresses
218,138,25,Perfect dress,The material is very comfortable and fits perfectly.,1,0,45,Intimates,Dresses,Blouses
219,101,58,Love it,"Looks amazing, great value for money.",1,1,49,General Petite,Dresses,Blouses
220,102,56,Highly recommend,"I didn’t like the quality, it feels cheap.",4,1,20,General Petite,Dresses,Jackets
221,155,18,Great fit,"The dress was smaller than expected, order one size up.",2,1,20,General Petite,Outerwear,Dresses
222,180,20,Not as expected,"Not worth the price, very disappointed.",3,0,4,General Petite,Dresses,Jackets
223,158,30,Too small,"I didn’t like the quality, it feels cheap.",5,0,47,General Petite,Outerwear,Pants
224,101,45,Not as expected,"Love the color and design, very trendy.",5,1,19,General Petite,Bottoms,Dresses
225,101,66,Poor quality,"Excellent purchase, will buy again.",1,1,36,General,Outerwear,Dresses
226,191,42,Poor quality,"I didn’t like the quality, it feels cheap.",4,1,2,Intimates,Bottoms,Pants
227,153,50,Perfect dress,"I didn’t like the quality, it feels cheap.",4,1,43,Intimates,Dresses,Pants
228,186,55,Love it,"Not worth the price, very disappointed.",5,0,32,General Petite,Bottoms,Jackets
229,195,23,Poor quality,"Excellent purchase, will buy again.",3,1,8,Intimates,Outerwear,Jackets
230,196,61,Great fit,"Love the color and design, very trendy.",2,1,8,Intimates,Tops,Pants
231,100,62,Not as expected,"Looks amazing, great value for money.",3,0,3,Intimates,Bottoms,Jackets
232,118,49,Not as expected,"Looks amazing, great value for money.",2,1,34,General Petite,Bottoms,Pants
233,101,62,Perfect dress,"I didn’t like the quality, it feels cheap.",5,1,16,General Petite,Dresses,Dresses
234,152,64,Highly recommend,"Excellent purchase, will buy again.",2,1,33,Intimates,Outerwear,Dresses
235,143,38,Highly recommend,"Excellent purchase, will buy again.",4,1,23,Intimates,Bottoms,Blouses
236,189,33,Too small,"Love the color and design, very trendy.",1,1,31,General Petite,Bottoms,Dresses
237,131,38,Perfect dress,"Not worth the price, very disappointed.",1,1,0,General,Bottoms,Pants
238,169,28,Too small,"The dress was smaller than expected, order one size up.",5,0,7,Intimates,Bottoms,Jackets
239,131,54,Highly recommend,"Looks amazing, great value for money.",4,1,44,General,Tops,Blouses
240,167,53,Perfect dress,"Not worth the price, very disappointed.",3,1,22,Intimates,Outerwear,Jackets
241,154,52,Perfect dress,The material is very comfortable and fits perfectly.,4,0,46,General,Dresses,Pants
242,174,36,Perfect dress,"Looks amazing, great value for money.",1,1,39,General,Dresses,Dresses
243,155,37,Highly recommend,"Not worth the price, very disappointed.",1,1,11,General,Tops,Blouses
244,116,35,Too small,"Looks amazing, great value for money.",4,1,11,General Petite,Outerwear,Pants
245,137,64,Too small,"The dress was smaller than expected, order one size up.",4,1,45,General,Bottoms,Blouses
246,123,58,Perfect dress,The material is very comfortable and fits perfectly.,1,1,46,General,Tops,Blouses
247,168,66,Poor quality,"The dress was smaller than expected, order one size up.",3,0,14,General,Outerwear,Dresses
248,197,31,Love it,"Love the color and design, very trendy.",5,0,40,Intimates,Bottoms,Pants
249,169,32,Highly recommend,The material is very comfortable and fits perfectly.,5,0,18,General,Tops,Jackets
250,185,48,Love it,"I didn’t like the quality, it feels cheap.",4,1,25,Intimates,Outerwear,Blouses
251,110,18,Love it,"Not worth the price, very disappointed.",5,1,28,General,Dresses,Blouses
252,115,20,Too small,The material is very comfortable and fits perfectly.,1,0,21,General,Dresses,Jackets
253,196,33,Too small,"Love the color and design, very trendy.",1,1,39,General Petite,Outerwear,Pants
254,172,40,Poor quality,"Love the color and design, very trendy.",4,1,20,Intimates,Dresses,Blouses
255,158,28,Love it,"The dress was smaller than expected, order one size up.",4,1,37,General,Outerwear,Blouses
256,169,29,Love it,"Looks amazing, great value for money.",4,1,19,Intimates,Bottoms,Blouses
257,179,27,Perfect dress,The material is very comfortable and fits perfectly.,3,0,28,Intimates,Outerwear,Pants
258,192,49,Too small,"Not worth the price, very disappointed.",5,1,3,General Petite,Bottoms,Pants
259,102,33,Love it,The material is very comfortable and fits perfectly.,4,1,6,General Petite,Tops,Jackets
260,119,25,Not as expected,"Excellent purchase, will buy again.",2,1,27,General Petite,Outerwear,Pants
261,158,55,Poor quality,"Looks amazing, great value for money.",2,1,27,General Petite,Tops,Pants
262,135,29,Not as expected,"Not worth the price, very disappointed.",1,1,3,General Petite,Dresses,Dresses
263,118,41,Not as expected,"Not worth the price, very disappointed.",5,1,21,General Petite,Bottoms,Jackets
264,189,45,Highly recommend,"I didn’t like the quality, it feels cheap.",4,0,11,General Petite,Outerwear,Blouses
265,166,25,Highly recommend,"The dress was smaller than expected, order one size up.",2,1,44,General Petite,Tops,Pants
266,118,45,Poor quality,"I didn’t like the quality, it feels cheap.",5,1,2,General,Bottoms,Blouses
267,119,53,Not as expected,"Not worth the price, very disappointed.",1,1,21,Intimates,Bottoms,Blouses
268,195,43,Love it,"Looks amazing, great value for money.",3,0,43,General Petite,Dresses,Dresses
269,170,25,Too small,The material is very comfortable and fits perfectly.,5,0,1,General Petite,Dresses,Pants
270,151,67,Poor quality,The material is very comfortable and fits perfectly.,5,0,23,Intimates,Bottoms,Jackets
271,132,45,Perfect dress,"Looks amazing, great value for money.",3,1,33,General,Bottoms,Pants
272,139,45,Not as expected,"Not worth the price, very disappointed.",5,1,26,Intimates,Outerwear,Blouses
273,138,54,Poor quality,"Love the color and design, very trendy.",1,0,40,Intimates,Bottoms,Jackets
274,181,58,Great fit,The material is very comfortable and fits perfectly.,1,1,0,General Petite,Outerwear,Pants
275,100,53,Great fit,"Love the color and design, very trendy.",3,1,7,Intimates,Bottoms,Blouses
276,110,44,Highly recommend,The material is very comfortable and fits perfectly.,4,1,22,Intimates,Dresses,Blouses
277,191,34,Too small,The material is very comfortable and fits perfectly.,2,1,37,General Petite,Outerwear,Dresses
278,156,26,Love it,"The dress was smaller than expected, order one size up.",4,1,5,General Petite,Tops,Dresses
279,188,50,Too small,"The dress was smaller than expected, order one size up.",5,1,21,General Petite,Dresses,Dresses
280,149,37,Too small,"Excellent purchase, will buy again.",2,0,24,General Petite,Outerwear,Blouses
281,122,30,Too small,"I didn’t like the quality, it feels cheap.",3,1,17,Intimates,Outerwear,Pants
282,130,45,Too small,"Looks amazing, great value for money.",3,1,16,Intimates,Tops,Dresses
283,193,65,Perfect dress,"Looks amazing, great value for money.",2,1,11,General,Outerwear,Pants
284,141,46,Perfect dress,"Looks amazing, great value for money.",1,1,5,General,Bottoms,Dresses
285,198,30,Highly recommend,"Excellent purchase, will buy again.",2,1,25,Intimates,Tops,Jackets
286,106,63,Poor quality,"The dress was smaller than expected, order one size up.",5,0,26,General,Dresses,Jackets
287,115,52,Great fit,"Not worth the price, very disappointed.",1,1,7,Intimates,Dresses,Dresses
288,189,23,Too small,"Love the color and design, very trendy.",3,0,18,General,Bottoms,Blouses
289,159,35,Highly recommend,"Love the color and design, very trendy.",2,0,41,General Petite,Dresses,Dresses
290,101,68,Poor quality,"Not worth the price, very disappointed.",4,1,0,General,Outerwear,Dresses
291,100,22,Great fit,"Excellent purchase, will buy again.",4,1,28,General Petite,Outerwear,Blouses
